accidentId,severity,eventDate,side,city,county,state,zipcode,temperature_F,windChill_F,humidity_perc,pressure_in,visibility_mi,windDirection,windSpeed_mph,precipitation_in,weatherCondition,sunriseSunset
A-692408,2,2021-11-19,R,Littlestown,Adams,PA,17340-9614,45,45,46,29.53,10,NNW,0,0,Cloudy,Day
A-262632,2,2021-08-06,L,Compton,Los Angeles,CA,90221-1916,66,66,84,29.87,9,SSE,5,0,Fair,Night
A-561573,2,2021-11-26,R,Long Beach,Los Angeles,CA,90805-1541,54,54,59,29.99,10,NW,6,0,Fair,Night
A-936533,2,2021-03-22,R,Sacramento,Sacramento,CA,95825-2140,61,61,45,29.97,10,CALM,0,,Fair,Day
A-64164,2,2016-10-05,R,Milwaukee,Milwaukee,WI,53220,66.9,,79,29.9,10,South,12.7,,Mostly Cloudy,Day
A-1030930,2,2021-12-10,R,Stafford,Stafford,VA,22554,51,51,50,29.97,10,SW,7,0.03,Partly Cloudy,Day
A-33346,2,2016-12-06,R,Suffolk,Suffolk City,VA,23434-6854,51.8,,100,29.82,5,East,10.4,,Light Drizzle,Day
A-548772,2,2021-11-14,R,Milford,New Haven,CT,6461,48,45,61,29.9,10,WSW,7,0,Fair,Day
A-36328,2,2016-12-14,L,Raleigh,Wake,NC,27616-4545,41,39,79,30.07,10,SSW,3.5,,Mostly Cloudy,Night
A-579319,2,2021-06-09,R,Nashville,Davidson,TN,37209-3226,79,79,74,29.36,10,WSW,6,0,Cloudy,Day
A-691474,2,2021-11-15,L,Miami,Miami-Dade,FL,33168-2335,73,73,64,30.13,10,NNE,9,0,Fair,Night
A-941435,2,2021-05-26,L,Hermiston,Umatilla,OR,97838,79,79,27,29.32,10,NE,9,0,Fair,Day
A-185184,4,2017-04-26,R,Rainier,Columbia,OR,97048,55.9,,69,29.94,10,West,11.5,0,Mostly Cloudy,Day
A-383278,2,2021-03-05,L,Central Point,Jackson,OR,97502,48,43,77,28.54,10,NW,13,0,Light Rain,Day
A-296025,2,2021-10-31,R,Allenwood,Monmouth,NJ,8720,57,57,100,29.34,4,NNW,3,0,Heavy Rain,Night
A-921144,2,2021-11-20,R,Radford,Montgomery,VA,24141,37,33,62,28.22,10,SSE,5,0,Fair,Day
A-304035,2,2021-12-29,R,Draper,Salt Lake,UT,84020,33,23,78,25.47,10,SSE,16,0,Cloudy,Night
A-822808,2,2021-03-19,R,Woodland,Yolo,CA,95695,64,64,40,30.04,10,SW,9,0,Mostly Cloudy,Day
A-800581,2,2021-11-24,R,Oakland Gardens,Queens,NY,11364,40,33,35,30.32,10,NW,10,0,Fair,Day
A-817038,2,2021-12-23,R,Marina del Rey,Los Angeles,CA,90292,53,53,89,29.75,5,E,10,0.17,Light Rain,Night
A-285218,2,2021-05-30,R,Sarasota,Sarasota,FL,34242,76,76,82,30,10,ENE,3,0.02,Fair,Day
A-1001479,2,2021-11-29,R,Clearfield,Clearfield,PA,16830,32,26,75,28.39,10,W,6,0,Cloudy,Night
A-188848,2,2017-05-10,L,Bethesda,Montgomery,MD,20817,55,,57,29.99,10,Calm,,,Mostly Cloudy,Night
A-1034267,2,2021-12-17,R,Fort Mill,York,SC,29708,56,56,90,29.47,10,S,3,0,Fair,Night
A-129687,2,2016-09-07,R,Paramount,Los Angeles,CA,90723,66.2,,88,29.91,5,West,4.6,,Overcast,Day
A-450958,2,2021-08-06,L,New Castle,New Castle,DE,19720-3135,85,85,55,30.03,10,SSE,13,0,Fair,Day
A-235404,2,2021-12-03,R,Anaheim,Orange,CA,92807-3126,65,65,61,29.93,5,SSW,6,0,Fair,Day
A-718736,2,2021-05-13,R,Sacramento,Sacramento,CA,95835,53,53,77,29.93,10,SE,10,0,Fair,Day
A-518216,2,2021-11-05,R,Saint Petersburg,Pinellas,FL,33716,65,65,97,29.88,2,NNE,14,0.32,Heavy Rain,Day
A-399697,2,2021-04-07,R,Norfolk,Norfolk,VA,23502,74,74,38,29.96,9,S,9,0,Fair,Day
