BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
40.900749,0.818182,95.4,0,95.4,0,0.166667,0,0.083333,0,0,2,1000,201.802084,139.509787,0,12
3202.467416,0.909091,0,0,0,6442.945483,0,0,0,0.25,4,0,7000,4103.032597,1072.340217,0.222222,12
2495.148862,1,773.17,773.17,0,0,1,1,0,0,0,12,7500,622.066742,627.284787,0,12
1666.670542,0.636364,1499,1499,0,205.788017,0.083333,0.083333,0,0.083333,1,1,7500,0,,0,12
817.714335,1,16,16,0,0,0.083333,0.083333,0,0,0,1,1200,678.334763,244.791237,0,12
1809.828751,1,1333.28,0,1333.28,0,0.666667,0,0.583333,0,0,8,1800,1400.05777,2407.246035,0,12
627.260806,1,7091.01,6402.63,688.38,0,1,1,1,0,0,64,13500,6354.314328,198.065894,1,12
1823.652743,1,436.2,0,436.2,0,1,0,1,0,0,12,2300,679.065082,532.03399,0,12
1014.926473,1,861.49,661.49,200,0,0.333333,0.083333,0.25,0,0,5,7000,688.278568,311.963409,0,12
152.225975,0.545455,1281.6,1281.6,0,0,0.166667,0.166667,0,0,0,3,11000,1164.770591,100.302262,0,12
1167.045536,1,294.13,65,229.13,0,0.916667,0.083333,0.833333,0,0,12,1500,686.376349,266.50397,0,12
3063.017462,1,0,0,0,3550.209696,0,0,0,0.166667,3,0,5500,757.537513,891.059927,0,12
1546.216153,0.833333,0,0,0,2196.107878,0,0,0,0.166667,5,0,3000,247.706733,310.58347,0,6
999.392635,1,0,0,0,2368.248319,0,0,0,0.333333,10,0,1500,1724.178215,301.346806,0.1,12
3386.99251,1,171.92,171.92,0,0,0.416667,0.416667,0,0,0,5,4500,907.867126,912.269822,0,12
963.572006,1,2210.97,1741.3,469.67,0,1,1,0.416667,0,0,50,9500,2946.752322,345.15359,0,12
454.580913,1,1229.57,1229.57,0,0,0.416667,0.416667,0,0,0,16,2700,1125.497981,192.979922,0,12
2572.508325,1,64,64,0,248.690762,0.083333,0.083333,0,0.083333,2,1,2800,373.433094,3945.38539,0,12
2596.59993,1,0,0,0,1700.074178,0,0,0,0.5,9,0,3000,1794.421173,936.618592,0,12
937.434519,1,1124.88,1085.63,39.25,0,0.416667,0.333333,0.083333,0,0,9,2500,993.196174,252.572491,0,12
4804.072481,1,0,0,0,1116.128466,0,0,0,0.583333,11,0,5000,1589.654582,1456.920041,0,12
1177.125233,1,8190.9,6949.66,1241.24,0,1,0.916667,0.5,0,0,56,5000,7007.797351,354.703333,0.416667,12
4393.185874,1,0,0,0,10725.50074,0,0,0,0.5,21,0,8000,5943.975673,1631.426308,0.090909,12
1695.84301,1,317.4,64.9,252.5,215.132661,0.25,0.083333,0.25,0.333333,4,5,1800,708.699641,1118.084153,0,12
1830.571451,1,737.67,737.67,0,1781.484344,0.25,0.25,0,0.416667,13,5,2000,2338.783266,838.165733,0,12
167.505508,0.818182,1219,843,376,0,0.75,0.75,0.416667,0,0,21,4500,1989.674433,161.279514,0.666667,12
1075.401912,1,150,150,0,0,0.083333,0.083333,0,0,0,1,1200,224.135558,443.646049,0,12
392.992722,1,508.32,0,508.32,0,1,0,1,0,0,36,1500,168.998137,199.547052,0,12
136.743106,1,1466.05,1344.79,121.26,0,1,1,0.5,0,0,21,6000,1519.011448,191.955443,1,12
1053.59473,1,1450,1450,0,0,0.125,0.125,0,0,0,1,1500,397.090516,227.143184,0,8
1877.424948,1,170.07,118.2,51.87,0,0.166667,0.166667,0.166667,0,0,2,6000,248.81801,264.497515,0,6
8.928211,0.727273,105.78,105.78,0,0,0.416667,0.416667,0,0,0,6,3500,199.171196,88.814442,0.5,12
2139.919711,1,330.89,71.4,259.49,2649.967098,0.5,0.083333,0.416667,0.416667,18,7,6000,703.005516,720.646441,0,12
137.909416,1,897.42,684.12,213.3,0,0.916667,0.916667,0.583333,0,0,27,7000,965.182597,191.931603,0.083333,12
1301.549278,1,0,0,0,72.681585,0,0,0,0.083333,1,0,1500,317.211622,531.398722,0,12
287.140554,0.636364,316.78,0,316.78,0,0.75,0,0.75,0,0,15,4500,1308.806298,248.833196,0,12
26.621291,0.363636,426.83,426.83,0,0,0.416667,0.416667,0,0,0,5,6000,195.490843,88.384521,0,12
6887.915143,1,4340.42,3608.17,732.25,7028.901031,1,1,0.916667,0.833333,29,59,11500,16616.23528,1688.710521,0.083333,12
740.382347,1,1672.35,1571.35,101,310.806852,0.666667,0.5,0.416667,0.25,3,15,5500,1437.155317,287.831911,0,12
3846.74253,1,0,0,0,1932.460679,0,0,0,1.5,18,0,5600,496.245836,538.346874,0,6
5500.316126,1,0,0,0,4930.998256,0,0,0,0.166667,6,0,9000,10036.80464,1915.072549,0.083333,12
364.516232,1,0,0,0,720.251306,0,0,0,0.2,2,0,6500,94.932543,158.639188,0,10
688.993252,1,803.57,0,803.57,0,1,0,1,0,0,53,2000,253.769944,195.362332,0,12
3781.053716,1,764.19,0,764.19,279.13821,0.666667,0,0.666667,0.166667,3,29,7000,1640.238914,2951.847301,0,12
1394.445085,1,0,0,0,279.693602,0,0,0,0.333333,4,0,1600,389.817084,510.935129,0,12
117.205812,0.818182,215,215,0,0,0.083333,0.083333,0,0,0,1,1750,86.403222,182.994424,0,12
4373.439331,0.888889,1959.04,1570.04,389,5124.126997,0.666667,0.444444,0.555556,0.555556,6,12,7000,820.851704,1409.800552,0,9
2931.237524,1,150,150,0,1434.135353,0.083333,0.083333,0,0.083333,3,3,3000,577.725789,1683.482088,0,12
310.666963,1,881.87,509.87,372,0,0.545455,0.363636,0.272727,0,0,12,7500,274.936052,212.361801,0,11
126.13588,1,0,0,0,1170.273287,0,0,0,0.083333,2,0,1200,1131.54314,78.85135,0.083333,12
